순위,제목,아티스트
1,TOO BAD (feat. Anderson .Paak),G-DRAGON
2,like JENNIE,제니 (JENNIE)
3,모르시나요(PROD.로코베리),조째즈
4,Drowning,WOODZ
5,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON
6,나는 반딧불,황가람
7,REBEL HEART,IVE (아이브)
8,Whiplash,aespa
9,오늘만 I LOVE YOU,BOYNEXTDOOR
10,APT.,로제 (ROSÉ)
11,Flower,오반(OVAN)
12,HOT,LE SSERAFIM (르세라핌)
13,HAPPY,DAY6 (데이식스)
14,ATTITUDE,IVE (아이브)
15,toxic till the end,로제 (ROSÉ)
16,내게 사랑이 뭐냐고 물어본다면,로이킴
17,I DO ME,KiiiKiii (키키)
18,PO￦ER,G-DRAGON
19,사랑은 늘 도망가,임영웅
20,소나기,이클립스 (ECLIPSE)
21,한 페이지가 될 수 있게,DAY6 (데이식스)
22,미치게 그리워서,황가람
23,Welcome to the Show,DAY6 (데이식스)
24,Die With A Smile,Lady Gaga
25,TAKE ME,G-DRAGON
26,천상연,이창섭
27,Supernova,aespa
28,예뻤어,DAY6 (데이식스)
29,청춘만화,이무진
30,우리들의 블루스,임영웅
31,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
32,DRIP,BABYMONSTER
33,슬픈 초대장,순순희(지환)
34,MY LOVE(2025),이예은
35,UP (KARINA Solo),aespa
36,Love wins all,아이유
37,내 이름 맑음,QWER
38,온기,임영웅
39,다시 만날 수 있을까,임영웅
40,천국보다 아름다운,임영웅
41,모래 알갱이,임영웅
42,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
43,이제 나만 믿어요,임영웅
44,청혼하지 않을 이유를 못 찾았어,이무진
45,어제보다 슬픈 오늘,우디 (Woody)
46,고민중독,QWER
47,Home,임영웅
48,첫 만남은 계획대로 되지 않아,TWS (투어스)
49,"무제(無題) (Untitled, 2014)",G-DRAGON
50,사랑인가 봐,멜로망스
51,너의 모든 순간,성시경
52,무지개,임영웅
53,Magnetic,아일릿(ILLIT)
54,The Chase,Hearts2Hearts (하츠투하츠)
55,How Sweet,NewJeans
56,Dash,PLAVE
57,비의 랩소디,임재현
58,London Boy,임영웅
59,에피소드,이무진
60,주저하는 연인들을 위해,잔나비
61,Do or Die,임영웅
62,나는 아픈 건 딱 질색이니까,(여자)아이들
63,인생찬가,임영웅
64,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
65,다정히 내 이름을 부르면,경서예지
66,이렇게 좋아해 본 적이 없어요,BOYNEXTDOOR
67,I AM,IVE (아이브)
68,Supersonic,프로미스나인
69,Mantra,제니 (JENNIE)
70,헤어지자 말해요,박재정
71,봄날,방탄소년단
72,Seven (feat. Latto) - Clean Ver.,정국
73,인사,범진
74,너에게 닿기를,10CM
75,Small girl (feat. 도경수(D.O.)),이영지
76,너와의 모든 지금,재쓰비 (JAESSBEE)
77,Hype Boy,NewJeans
78,미안해 미워해 사랑해,Crush
79,RIZZ,PLAVE
80,사막에서 꽃을 피우듯,우디 (Woody)
81,Ditto,NewJeans
82,취중고백,김민석
83,Armageddon,aespa
84,Island,PLAVE
85,Sticky,KISS OF LIFE
86,숙녀에게,송필근
87,녹아내려요,DAY6 (데이식스)
88,해야 (HEYA),IVE (아이브)
89,Sweet Dreams (feat. Miguel),j-hope
90,살기 위해서,순순희
91,12:32 (A to T),PLAVE
92,Supernatural,NewJeans
93,보금자리,임영웅
94,Chroma Drift,PLAVE
95,poppop,NCT WISH
96,DRAMA,G-DRAGON
97,number one girl,로제 (ROSÉ)
98,LOVE ATTACK,RESCENE (리센느)
99,Igloo,KISS OF LIFE
100,earthquake,지수 (JISOO)
